OID_,ID,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,ACSDISABBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,DISABILITY,DISABILITYPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,NO2,DWATER,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,D2_NO2,D5_NO2,D2_DWATER,D5_DWATER,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_DISABILITYPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_NO2,P_DWATER,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,P_D2_NO2,P_D5_NO2,P_D2_DWATER,P_D5_DWATER,B_DEMOGIDX_2,B_DEMOGIDX_5,B_PEOPCOLORPCT,B_LOWINCPCT,B_UNEMPPCT,B_DISABILITYPCT,B_LINGISOPCT,B_LESSHSPCT,B_UNDER5PCT,B_OVER64PCT,B_LIFEEXPPCT,B_PM25,B_OZONE,B_DSLPM,B_RSEI_AIR,B_PTRAF,B_LDPNT,B_PNPL,B_PRMP,B_PTSDF,B_UST,B_PWDIS,B_NO2,B_DWATER,B_D2_PM25,B_D5_PM25,B_D2_OZONE,B_D5_OZONE,B_D2_DSLPM,B_D5_DSLPM,B_D2_RSEI_AIR,B_D5_RSEI_AIR,B_D2_PTRAF,B_D5_PTRAF,B_D2_LDPNT,B_D5_LDPNT,B_D2_PNPL,B_D5_PNPL,B_D2_PRMP,B_D5_PRMP,B_D2_PTSDF,B_D5_PTSDF,B_D2_UST,B_D5_UST,B_D2_PWDIS,B_D5_PWDIS,B_D2_NO2,B_D5_NO2,B_D2_DWATER,B_D5_DWATER,T_DEMOGIDX_2,T_DEMOGIDX_5,T_PEOPCOLORPCT,T_LOWINCPCT,T_UNEMPPCT,T_DISABILITYPCT,T_LINGISOPCT,T_LESSHSPCT,T_UNDER5PCT,T_OVER64PCT,T_LIFEEXPPCT,T_PM25,T_OZONE,T_DSLPM,T_RSEI_AIR,T_PTRAF,T_LDPNT,T_PNPL,T_PRMP,T_PTSDF,T_UST,T_PWDIS,T_NO2,T_DWATER,T_D2_PM25,T_D5_PM25,T_D2_OZONE,T_D5_OZONE,T_D2_DSLPM,T_D5_DSLPM,T_D2_RSEI_AIR,T_D5_RSEI_AIR,T_D2_PTRAF,T_D5_PTRAF,T_D2_LDPNT,T_D5_LDPNT,T_D2_PNPL,T_D5_PNPL,T_D2_PRMP,T_D5_PRMP,T_D2_PTSDF,T_D5_PTSDF,T_D2_UST,T_D5_UST,T_D2_PWDIS,T_D5_PWDIS,T_D2_NO2,T_D5_NO2,T_D2_DWATER,T_D5_DWATER,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
52758,36067000100,NEW YORK,NY,Onondaga County,2,1047,1047,863,692,771,830,1047,1.013109076111922,1.283327082138345,183,0.1747851,279,0.266475645,19,0.022891566,104,0.099331423,20,0.028901734,67,0.077636153,10,0.009551098,107,0.102196753,,6.823766120218580,55.841110000000000,0.234668318,17424.400239999999030,4178718.580504940822721,410.000000000000000,0.531776913,3.112033132180896,0.708244058,8.629968935625339,2.876257856127352,371.659354581164337,12.807478904724119,0,15.196636141678825,19.249906232075173,26.340835978909965,33.366504135596969,73.956962556170282,93.682876996099182,96.245362230632566,121.916072803142768,90.166707773961036,114.216110310312700,81.048726088953742,102.666166571067592,98.271580382856399,124.482726967419453,72.943853480058365,92.399549913960840,89.153598697849105,112.932783228174344,68.891417175610670,87.266241585407457,66.865199023386836,84.699587421130758,92.192925926184870,116.782764474589385,0,0,35,36,29,47,21,31,63,46,4,19,,15,26,73,95,89,80,97,72,88,68,66,91,0,17,16,28,25,59,67,71,78,65,75,64,67,75,80,60,64,65,75,59,62,57,61,65,75,0,0,4,4,3,5,3,4,7,5,1,2,,2,3,8,11,9,9,11,8,9,7,7,10,1,2,2,3,3,6,7,8,8,7,8,7,7,8,9,7,7,7,8,6,7,6,7,7,8,1,1,35 %ile,36 %ile,29 %ile,47 %ile,21 %ile,31 %ile,63 %ile,46 %ile,4 %ile,19 %ile,,15 %ile,26 %ile,73 %ile,95 %ile,89 %ile,80 %ile,97 %ile,72 %ile,88 %ile,68 %ile,66 %ile,91 %ile,0 %ile,17 %ile,16 %ile,28 %ile,25 %ile,59 %ile,67 %ile,71 %ile,78 %ile,65 %ile,75 %ile,64 %ile,67 %ile,75 %ile,80 %ile,60 %ile,64 %ile,65 %ile,75 %ile,59 %ile,62 %ile,57 %ile,61 %ile,65 %ile,75 %ile,0 %ile,0 %ile,4731732.000000000000000,1328778.000000000000000,1,1,0,1,0.139848242,0.000669746
52759,36067000200,NEW YORK,NY,Onondaga County,2,3979,3979,2823,1598,1828,2006,3979,2.364534600144504,2.693009754424806,2000,0.502638854,2244,0.563960794,192,0.095712861,731,0.183714501,35,0.021902378,780,0.276301807,255,0.064086454,453,0.1138477,0.272820513,6.842158743169400,55.937779999999997,0.154877598,2997.283229018396014,2806628.625197314191610,1579.000000000000000,0.863785558,1.121519246324390,0.678356898,7.240206241998772,3.199530424781395,293.825925749859664,12.270424036846130,0,35.468019002167566,40.395146316372092,63.842434203901611,72.711263369469762,115.862195407080705,131.957477966815503,186.798233411415822,212.747770599559686,191.527302611704840,218.133790108409301,229.359856214016901,261.221946179206213,217.537183213294384,247.756897407082164,167.881956610259806,191.203692564161230,203.349975612427357,231.598838880533322,167.881956610259806,191.203692564161230,151.330214409248271,172.352624283187595,210.443579412860885,239.677868143807757,0,0,82,92,65,89,85,80,58,92,66,24,96,15,27,49,79,81,97,92,71,86,71,64,89,0,35,31,56,55,73,81,90,95,88,95,94,98,93,97,85,91,90,96,85,91,84,90,90,96,0,0,9,10,7,9,9,9,6,10,7,3,11,2,3,5,8,9,11,10,8,9,8,7,9,1,4,4,6,6,8,9,10,11,9,11,10,11,10,11,9,10,10,11,9,10,9,10,10,11,1,1,82 %ile,92 %ile,65 %ile,89 %ile,85 %ile,80 %ile,58 %ile,92 %ile,66 %ile,24 %ile,96 %ile,15 %ile,27 %ile,49 %ile,79 %ile,81 %ile,97 %ile,92 %ile,71 %ile,86 %ile,71 %ile,64 %ile,89 %ile,0 %ile,35 %ile,31 %ile,56 %ile,55 %ile,73 %ile,81 %ile,90 %ile,95 %ile,88 %ile,95 %ile,94 %ile,98 %ile,93 %ile,97 %ile,85 %ile,91 %ile,90 %ile,96 %ile,85 %ile,91 %ile,84 %ile,90 %ile,90 %ile,96 %ile,0 %ile,0 %ile,1095301.000000000000000,0,0,0,9,10,0.048633379,0.000121058
52760,36067000300,NEW YORK,NY,Onondaga County,2,1476,1469,1176,645,737,951,1476,2.018927284592473,1.756329823918650,767,0.519647696,626,0.426140231,100,0.105152471,161,0.109078591,25,0.03875969,209,0.177721088,96,0.06504065,190,0.128726287,0.192820513,6.854525683060110,55.996119999999998,0.155098097,1731.581629997443997,2225308.159442407079041,573.000000000000000,0.777476255,1.268076728391931,0.505796555,7.485437119803594,0.706433826,213.468418656805596,11.536287763552924,0,32.302836553479565,28.101277182698400,54.511036683996764,47.420905245803553,98.927436945031175,86.060161372013852,139.305982636880628,121.186757850386854,151.419546344435474,131.724736793898757,189.779164751692434,165.095003448353111,187.760237467099984,163.338673624434449,127.192418929325783,110.648778906874952,173.627746474952659,151.044364857003899,86.813873237476329,75.522182428501949,123.154564360140839,107.136119259037656,171.608819190360180,149.288035033085237,0,0,74,63,67,75,88,38,69,79,67,31,49,16,27,49,69,75,94,93,63,86,43,61,85,0,33,23,51,36,68,64,83,77,81,80,90,87,89,89,77,72,86,85,66,56,78,72,84,84,0,0,8,7,7,8,9,4,7,8,7,4,5,2,3,5,7,8,10,10,7,9,5,7,9,1,4,3,6,4,7,7,9,8,9,9,10,9,9,9,8,8,9,9,7,6,8,8,9,9,1,1,74 %ile,63 %ile,67 %ile,75 %ile,88 %ile,38 %ile,69 %ile,79 %ile,67 %ile,31 %ile,49 %ile,16 %ile,27 %ile,49 %ile,69 %ile,75 %ile,94 %ile,93 %ile,63 %ile,86 %ile,43 %ile,61 %ile,85 %ile,0 %ile,33 %ile,23 %ile,51 %ile,36 %ile,68 %ile,64 %ile,83 %ile,77 %ile,81 %ile,80 %ile,90 %ile,87 %ile,89 %ile,89 %ile,77 %ile,72 %ile,86 %ile,85 %ile,66 %ile,56 %ile,78 %ile,72 %ile,84 %ile,84 %ile,0 %ile,0 %ile,541795.000000000000000,0,0,0,6,5,0.04051753,5.9888E-05
52761,36067000400,NEW YORK,NY,Onondaga County,2,3931,3916,3065,1515,1569,2068,3899,1.626159826564818,1.871962027294518,1293,0.328923938,1559,0.398110317,189,0.09139265,579,0.148499615,48,0.031683168,426,0.138988581,108,0.027473925,676,0.171966421,0.216410256,6.842197267759560,56.000680000000003,0.155138774,1550.457061995429967,2146918.375001980923116,1279.000000000000000,0.815168897,0.704265545,0.487445599,6.665520674018489,1.596126428361405,187.933596400003609,11.830621735767652,0,24.392397398472269,28.079430409417768,43.906315317250083,50.542974736951983,79.681831501676072,91.726139337431377,108.952708379842790,125.421455828732704,120.335827165796516,138.525190019794337,156.111343350222512,179.708354620273724,143.102064737703984,164.732658401917575,100.821909247018709,116.061645692260115,136.597425431444691,157.244810292739515,91.064950287629799,104.829873528492996,97.569589593889077,112.317721637671070,141.475904911139139,162.860696374623046,0,0,62,68,50,71,83,63,65,70,15,54,71,15,27,49,67,74,96,88,62,84,56,60,87,0,26,22,43,39,62,66,75,79,74,82,84,90,83,89,70,74,78,86,67,69,70,74,79,86,0,0,7,7,6,8,9,7,7,8,2,6,8,2,3,5,7,8,11,9,7,9,6,7,9,1,3,3,5,4,7,7,8,8,8,9,9,10,9,9,8,8,8,9,7,7,8,8,8,9,1,1,62 %ile,68 %ile,50 %ile,71 %ile,83 %ile,63 %ile,65 %ile,70 %ile,15 %ile,54 %ile,71 %ile,15 %ile,27 %ile,49 %ile,67 %ile,74 %ile,96 %ile,88 %ile,62 %ile,84 %ile,56 %ile,60 %ile,87 %ile,0 %ile,26 %ile,22 %ile,43 %ile,39 %ile,62 %ile,66 %ile,75 %ile,79 %ile,74 %ile,82 %ile,84 %ile,90 %ile,83 %ile,89 %ile,70 %ile,74 %ile,78 %ile,86 %ile,67 %ile,69 %ile,70 %ile,74 %ile,79 %ile,86 %ile,0 %ile,0 %ile,1509959.000000000000000,0,0,0,2,5,0.068233446,0.000166892
52762,36067000501,NEW YORK,NY,Onondaga County,2,2319,2319,1311,1014,1282,879,2319,3.374474232955124,3.099434366473369,1607,0.692971108,1901,0.819749892,134,0.152445961,264,0.113842173,134,0.132149901,570,0.434782609,250,0.107805088,188,0.081069426,0.233846154,6.819509836065570,55.870310000000003,0.213426953,3536.991044055443126,3935943.115917806979269,879.000000000000000,0.685647426,1.394530554851616,0.62475739,8.254548992322462,4.153518506111839,291.694600907650965,13.960582597687001,0,50.617113494326865,46.491515497100529,91.110804289788362,83.684727894780949,229.464247840948445,210.761536920189059,273.332412869365044,251.054183684342860,296.953732500050933,272.750224249656412,300.328206733006084,275.849658616129830,317.200577897781670,291.346830448496632,232.838722073903568,213.860971286662419,296.953732500050933,272.750224249656412,256.460041704589457,235.557011851976000,215.966350909127954,198.363799454295588,317.200577897781670,291.346830448496632,0,0,97,96,78,99,95,41,89,98,95,11,83,15,27,68,81,88,89,94,69,88,76,64,94,0,46,35,69,62,93,94,97,97,98,98,98,98,99,99,93,93,98,98,95,96,93,93,99,98,0,0,11,11,8,11,11,5,9,11,11,2,9,2,3,7,9,9,9,10,7,9,8,7,10,1,5,4,7,7,10,10,11,11,11,11,11,11,11,11,10,10,11,11,11,11,10,10,11,11,1,1,97 %ile,96 %ile,78 %ile,99 %ile,95 %ile,41 %ile,89 %ile,98 %ile,95 %ile,11 %ile,83 %ile,15 %ile,27 %ile,68 %ile,81 %ile,88 %ile,89 %ile,94 %ile,69 %ile,88 %ile,76 %ile,64 %ile,94 %ile,0 %ile,46 %ile,35 %ile,69 %ile,62 %ile,93 %ile,94 %ile,97 %ile,97 %ile,98 %ile,98 %ile,98 %ile,98 %ile,99 %ile,99 %ile,93 %ile,93 %ile,98 %ile,98 %ile,95 %ile,96 %ile,93 %ile,93 %ile,99 %ile,98 %ile,0 %ile,0 %ile,714188.000000000000000,0,0,0,10,10,0.054389524,7.89216E-05
52763,36067000600,NEW YORK,NY,Onondaga County,2,2970,2970,1849,1220,1455,1126,2970,2.908316114328128,2.910494460605253,1562,0.525925926,2228,0.75016835,145,0.128774423,803,0.27037037,76,0.062295082,528,0.285559762,333,0.112121212,368,0.123905724,0.203076923,6.830415846994540,55.929070000000003,0.154806499,2560.479216849072145,2761065.713626852724701,966.000000000000000,0.663917526,0.843606369,0.553355874,7.166801784102717,3.075323742790229,259.412064720760327,12.521204391421190,0,43.624741714921925,43.657416909078805,78.524535086859473,78.583350436341846,142.507489602078294,142.614228569657428,221.032024688937753,221.197579005999273,232.665289146250274,232.839556848420273,255.931818060875287,256.123512533262328,261.748450289531547,261.944501454472800,191.948863545656479,192.092634399946718,250.115185832219055,250.302523612051800,203.582128002969000,203.734612242367746,183.223915202672089,183.361151018130954,261.748450289531547,261.944501454472800,0,0,91,95,67,97,92,96,78,92,96,29,59,15,27,49,76,80,88,90,66,86,70,63,90,0,42,33,64,59,79,83,94,95,94,96,96,97,97,98,88,91,95,97,90,93,89,92,95,97,0,0,10,11,7,11,10,11,8,10,11,3,6,2,3,5,8,9,9,10,7,9,8,7,10,1,5,4,7,6,8,9,10,11,10,11,11,11,11,11,9,10,11,11,10,10,9,10,11,11,1,1,91 %ile,95 %ile,67 %ile,97 %ile,92 %ile,96 %ile,78 %ile,92 %ile,96 %ile,29 %ile,59 %ile,15 %ile,27 %ile,49 %ile,76 %ile,80 %ile,88 %ile,90 %ile,66 %ile,86 %ile,70 %ile,63 %ile,90 %ile,0 %ile,42 %ile,33 %ile,64 %ile,59 %ile,79 %ile,83 %ile,94 %ile,95 %ile,94 %ile,96 %ile,96 %ile,97 %ile,97 %ile,98 %ile,88 %ile,91 %ile,95 %ile,97 %ile,90 %ile,93 %ile,89 %ile,92 %ile,95 %ile,97 %ile,0 %ile,0 %ile,617027.000000000000000,0,0,0,9,10,0.034674782,6.81919E-05
52764,36067000700,NEW YORK,NY,Onondaga County,2,1538,1538,947,633,727,702,1538,2.563209928148908,3.023591441696011,1023,0.665149545,827,0.537711313,41,0.058404558,156,0.101430429,144,0.227488152,473,0.499472017,121,0.078673602,82,0.053315995,0.223589744,6.826874043715850,55.932910000000000,0.154823753,2294.457994503170994,2482649.644460295792669,556.000000000000000,0.764786795,0.606712469,0.514655386,7.100912596848090,0,213.664987576487476,12.393437384550973,0,38.448148922233628,45.353871625440163,69.206668060020533,81.636968925792303,125.597286479296514,148.155980643104527,189.677534683019218,223.745766685504805,199.930374395614848,235.840132452288856,238.378523317848476,281.194004077729005,220.436053820806137,260.028863985856958,164.045435401530142,193.509852268544705,217.872843892657215,257.005272544160960,0,0,156.355805617083405,184.439077943456681,228.125683605252846,269.099638310944954,0,0,85,96,76,87,63,32,95,99,81,5,77,15,27,49,74,78,93,86,64,85,0,61,89,0,38,34,59,60,76,85,91,96,89,96,95,99,93,98,84,91,92,98,0,0,85,92,92,98,0,0,9,11,8,9,7,4,11,11,9,1,8,2,3,5,8,8,10,9,7,9,1,7,9,1,4,4,6,7,8,9,10,11,9,11,11,11,10,11,9,10,10,11,1,1,9,10,10,11,1,1,85 %ile,96 %ile,76 %ile,87 %ile,63 %ile,32 %ile,95 %ile,99 %ile,81 %ile,5 %ile,77 %ile,15 %ile,27 %ile,49 %ile,74 %ile,78 %ile,93 %ile,86 %ile,64 %ile,85 %ile,0 %ile,61 %ile,89 %ile,0 %ile,38 %ile,34 %ile,59 %ile,60 %ile,76 %ile,85 %ile,91 %ile,96 %ile,89 %ile,96 %ile,95 %ile,99 %ile,93 %ile,98 %ile,84 %ile,91 %ile,92 %ile,98 %ile,0 %ile,0 %ile,85 %ile,92 %ile,92 %ile,98 %ile,0 %ile,0 %ile,322511.000000000000000,0,0,0,8,9,0.025239581,3.56424E-05
52765,36067000800,NEW YORK,NY,Onondaga County,2,3302,3302,2034,1075,1234,1178,3302,2.609579040239334,2.590907160243068,2144,0.649303452,1864,0.56450636,183,0.155348048,792,0.239854634,89,0.082790698,419,0.205998033,339,0.102665051,381,0.115384615,0.221538462,6.827554098360660,56.009569999999997,0.154862231,1777.813716813937162,2372041.404358666390181,1032.000000000000000,0.8363047,0.498210666,0.488771957,7.029620093294790,0,186.343804379909841,12.416144078677352,0,39.143685603590008,38.863607403646022,70.458634086462013,69.954493326562840,127.869372971727358,126.954450851910337,182.670532816753365,181.363501217014772,198.328007058189371,196.908944178473178,250.519587862976039,248.727087383334549,216.595060339864688,215.045294300174675,161.793900494838681,160.636243935070240,221.814218420343366,220.227108620660800,0,0,156.574742414360031,155.454429614584086,232.252534581300694,230.590737261633080,0,0,86,91,75,89,95,93,83,84,93,24,75,15,27,49,70,76,96,83,62,85,0,60,89,0,38,30,60,53,76,79,90,91,89,93,96,97,93,95,84,86,93,95,0,0,85,87,93,95,0,0,9,10,8,9,11,10,9,9,10,3,8,2,3,5,8,8,11,9,7,9,1,7,9,1,4,4,7,6,8,8,10,10,9,10,11,11,10,11,9,9,10,11,1,1,9,9,10,11,1,1,86 %ile,91 %ile,75 %ile,89 %ile,95 %ile,93 %ile,83 %ile,84 %ile,93 %ile,24 %ile,75 %ile,15 %ile,27 %ile,49 %ile,70 %ile,76 %ile,96 %ile,83 %ile,62 %ile,85 %ile,0 %ile,60 %ile,89 %ile,0 %ile,38 %ile,30 %ile,60 %ile,53 %ile,76 %ile,79 %ile,90 %ile,91 %ile,89 %ile,93 %ile,96 %ile,97 %ile,93 %ile,95 %ile,84 %ile,86 %ile,93 %ile,95 %ile,0 %ile,0 %ile,85 %ile,87 %ile,93 %ile,95 %ile,0 %ile,0 %ile,673852.000000000000000,0,0,0,8,8,0.036490202,7.44695E-05
52766,36067000900,NEW YORK,NY,Onondaga County,2,3474,3474,2417,1457,1572,1915,3438,0.830041574,0.966881709,575,0.165515256,711,0.204663212,140,0.07310705,427,0.124200116,10,0.006863418,75,0.031030203,82,0.023603915,549,0.158031088,0.144615385,6.807196174863390,55.974139999999998,0.155280511,1181.679669186762794,2209946.661564622540027,1287.000000000000000,0.81870229,0.534904742,0.460121603,6.488975404161941,2.317587489464287,142.986694715483452,11.951584262725635,0,12.450623604595062,14.503225627766730,22.411122488271111,26.105806129980113,40.672037108343872,47.377203717371316,51.462577565659586,59.946665928102483,62.253118022975308,72.516128138833650,79.683991069408393,92.820644017707068,69.723492185732340,81.218063515493682,50.632535992019918,58.979784219584701,69.723492185732340,81.218063515493682,53.122660712938931,61.880429345138047,48.142411271100904,56.079139094031355,72.213616906651353,84.118708641047036,0,0,24,17,28,34,74,48,40,17,12,47,9,15,27,49,62,75,96,84,61,84,64,58,87,0,14,12,24,19,41,38,47,45,53,56,64,62,67,66,48,46,57,60,51,48,45,42,57,61,0,0,3,2,3,4,8,5,5,2,2,5,1,2,3,5,7,8,11,9,7,9,7,6,9,1,2,2,3,2,5,4,5,5,6,6,7,7,7,7,5,5,6,7,6,5,5,5,6,7,1,1,24 %ile,17 %ile,28 %ile,34 %ile,74 %ile,48 %ile,40 %ile,17 %ile,12 %ile,47 %ile,9 %ile,15 %ile,27 %ile,49 %ile,62 %ile,75 %ile,96 %ile,84 %ile,61 %ile,84 %ile,64 %ile,58 %ile,87 %ile,0 %ile,14 %ile,12 %ile,24 %ile,19 %ile,41 %ile,38 %ile,47 %ile,45 %ile,53 %ile,56 %ile,64 %ile,62 %ile,67 %ile,66 %ile,48 %ile,46 %ile,57 %ile,60 %ile,51 %ile,48 %ile,45 %ile,42 %ile,57 %ile,61 %ile,0 %ile,0 %ile,1271788.000000000000000,0,0,0,0,0,0.051760271,0.000140549
52767,36067001000,NEW YORK,NY,Onondaga County,2,3976,3976,3076,2144,2299,2114,3976,2.054664965601408,2.065248513215704,1672,0.420523139,1988,0.5,115,0.054399243,794,0.199698189,0,0,310,0.100780234,197,0.049547284,649,0.163229376,0.22974359,6.782092349726780,56.078159999999997,0.159451253,809.320731664429445,1962608.115671970881522,1612.000000000000000,0.701174424,0.733187244,0.461594082,6.463983014482126,2.866079358397452,112.871074894946503,12.300755521654342,0,28.765309518419706,28.913479185019852,57.530619036839411,57.826958370039705,104.787913245671788,105.327674174000890,113.006573108077419,113.588668226863703,147.935877523301343,148.697892951530662,184.919846904126672,185.872366189413327,180.810516972923864,181.741869162981914,125.334562901685857,125.980159306157930,172.591857110518220,173.480875110119115,139.717217660895699,140.436898898667863,113.006573108077419,113.588668226863703,182.865181938525268,183.807117676197635,0,0,75,76,59,84,59,85,0,57,45,50,81,14,28,51,55,72,90,88,61,84,68,55,89,0,30,23,52,44,70,72,77,75,80,85,89,90,89,91,77,77,85,89,80,81,75,74,86,90,0,0,8,8,6,9,6,9,1,6,5,6,9,2,3,6,6,8,10,9,7,9,7,6,9,1,4,3,6,5,8,8,8,8,9,9,9,10,9,10,8,8,9,9,9,9,8,8,9,10,1,1,75 %ile,76 %ile,59 %ile,84 %ile,59 %ile,85 %ile,0 %ile,57 %ile,45 %ile,50 %ile,81 %ile,14 %ile,28 %ile,51 %ile,55 %ile,72 %ile,90 %ile,88 %ile,61 %ile,84 %ile,68 %ile,55 %ile,89 %ile,0 %ile,30 %ile,23 %ile,52 %ile,44 %ile,70 %ile,72 %ile,77 %ile,75 %ile,80 %ile,85 %ile,89 %ile,90 %ile,89 %ile,91 %ile,77 %ile,77 %ile,85 %ile,89 %ile,80 %ile,81 %ile,75 %ile,74 %ile,86 %ile,90 %ile,0 %ile,0 %ile,1259879.000000000000000,0,0,0,6,6,0.067900759,0.000139242
52768,36067001400,NEW YORK,NY,Onondaga County,2,3188,3188,1463,929,1214,765,3188,3.504645159902228,2.845795076891625,2378,0.745922208,2663,0.83531995,75,0.098039216,478,0.149937265,116,0.124865447,581,0.397129187,187,0.058657465,451,0.141468005,0.175384615,6.807721857923500,55.882669999999997,0.195284289,2633.381221993487998,2948769.610684312880039,1002.000000000000000,0.825370675,0.831952682,0.529796231,8.018370180691164,4.347618991113032,235.190550578869960,13.255168414448582,0,52.569677398533429,42.686926153374380,94.625419317360169,76.836467076073887,220.792645073840390,179.285089844172404,269.857677312471594,219.126220920655157,287.380903111982718,233.355196305113282,336.445935350613922,273.196327381596006,311.913419231298349,253.275761843354644,224.297290233742615,182.130884921064023,304.904128911493842,247.584171689571406,269.857677312471594,219.126220920655157,217.287999913938165,176.439294767280785,322.427354711005023,261.813147074029530,0,0,98,94,80,99,85,64,89,97,59,38,31,15,27,63,77,82,96,89,64,87,77,62,92,0,47,33,70,57,92,90,97,95,98,96,99,98,99,98,92,89,99,97,96,95,93,91,99,97,0,0,11,10,9,11,9,7,9,11,6,4,4,2,3,7,8,9,11,9,7,9,8,7,10,1,5,4,8,6,10,10,11,11,11,11,11,11,11,11,10,9,11,11,11,11,10,10,11,11,1,1,98 %ile,94 %ile,80 %ile,99 %ile,85 %ile,64 %ile,89 %ile,97 %ile,59 %ile,38 %ile,31 %ile,15 %ile,27 %ile,63 %ile,77 %ile,82 %ile,96 %ile,89 %ile,64 %ile,87 %ile,77 %ile,62 %ile,92 %ile,0 %ile,47 %ile,33 %ile,70 %ile,57 %ile,92 %ile,90 %ile,97 %ile,95 %ile,98 %ile,96 %ile,99 %ile,98 %ile,99 %ile,98 %ile,92 %ile,89 %ile,99 %ile,97 %ile,96 %ile,95 %ile,93 %ile,91 %ile,99 %ile,97 %ile,0 %ile,0 %ile,415681.000000000000000,0,0,0,10,10,0.026848574,4.59351E-05
52769,36067001500,NEW YORK,NY,Onondaga County,2,2346,2346,1404,780,1034,951,2335,2.364524458935311,2.574961030486015,1274,0.543052003,1265,0.539215686,98,0.103049422,399,0.170877944,129,0.165384615,383,0.272792023,219,0.093350384,208,0.088661552,0.206153846,6.806728415300550,55.907339999999998,0.209881262,2063.125018844660190,2820135.786077319178730,810.000000000000000,0.783365571,0.567519424,0.49295509,8.165245590304099,2.528538177015847,194.916955838932040,13.287747929397138,0,35.467866884029661,38.624415457290219,63.842160391253394,69.523947823122398,158.423138748665821,172.522389042562992,172.610285502277691,187.972155225479071,191.526481173760175,208.571843469367195,222.265299139919222,242.046336865685390,200.984579009501431,218.871687591311257,148.965040912924593,162.222544920618930,208.078152386307352,226.596570682769283,156.058614289730514,169.947428012076955,141.871467536118644,154.497661829160876,217.536250222048608,236.896414804713345,0,0,82,90,68,88,87,74,92,92,90,14,62,15,27,67,73,81,94,85,63,88,66,60,92,0,35,30,56,53,83,89,89,92,88,94,93,97,91,95,82,86,91,96,83,88,82,87,91,96,0,0,9,10,7,9,9,8,10,10,10,2,7,2,3,7,8,9,10,9,7,9,7,7,10,1,4,4,6,6,9,9,9,10,9,10,10,11,10,11,9,9,10,11,9,9,9,9,10,11,1,1,82 %ile,90 %ile,68 %ile,88 %ile,87 %ile,74 %ile,92 %ile,92 %ile,90 %ile,14 %ile,62 %ile,15 %ile,27 %ile,67 %ile,73 %ile,81 %ile,94 %ile,85 %ile,63 %ile,88 %ile,66 %ile,60 %ile,92 %ile,0 %ile,35 %ile,30 %ile,56 %ile,53 %ile,83 %ile,89 %ile,89 %ile,92 %ile,88 %ile,94 %ile,93 %ile,97 %ile,91 %ile,95 %ile,82 %ile,86 %ile,91 %ile,96 %ile,83 %ile,88 %ile,82 %ile,87 %ile,91 %ile,96 %ile,0 %ile,0 %ile,511989.000000000000000,0,0,0,10,10,0.037400999,5.65753E-05
